"Completed?","Year","Type","Problem #","Short Name","Description","Topic 1","Topic 2","Topic 3","Tags","Problem PDF","Solution PDF"
"","2025","Theoretical","1","Ohrid Swimming Marathon","Five swimmers race 25 km past three checkpoints; compute average speeds, then find the minimum time for a support boat to intercept a swimmer before a control point, both starting from rest with constant accelerations.","Mechanics","","","kinematics, average speed, constant acceleration, quadratic equation, intercept","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Solutions.pdf"
"","2025","Theoretical","2","Star Wars","An Earth satellite on an elliptical orbit undergoes a plastic collision with a radially-moving projectile at apogee, changing the eccentricity; find speeds at apogee and perigee, post-collision speeds, energy ratio, and projectile launch speed.","Mechanics","Astrophysics","","orbital mechanics, elliptical orbit, angular momentum conservation, plastic collision, Kepler's laws, eccentricity","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Solutions.pdf"
"","2025","Theoretical","3","Charged Spheres and Springs","Two identical charged spheres hang on insulating wires at 30 degrees; four charged spheres fixed at corners of a square with a fifth held above by four springs; find charge, energies, spring constant, and restoring force for small vertical oscillations.","Electromagnetism","Mechanics","","Coulomb's law, electrostatics, equilibrium, spring constant, small oscillations","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Solutions.pdf"
"","2025","Theoretical","4","N Resistors and Ammeter","An ammeter with internal resistance is embedded in a ladder network of N equal resistors; given 10 consecutive current readings, linearize the ammeter-current formula graphically to extract resistance values.","Electromagnetism","Experimental Methods","","ladder network, Kirchhoff's laws, ammeter resistance, graphical linearization, data analysis","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2025/07/BPO7Solutions.pdf"
"","2024","Theoretical","1","Bouncing Ball Stack","A vertical stack of n balls (each much lighter than the one below) is dropped; derive the rebound height of the top ball as a function of n and find the minimum number of balls needed to reach 1 km or Earth's escape speed.","Mechanics","","","elastic collision, energy transfer, sequential collisions, escape velocity","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Solutions.pdf"
"","2024","Theoretical","2","Ball on Curved Spring Track","A ball on a quarter-circle frictionless track is connected to a spring; starting from rest at 45 degrees above horizontal, it reaches maximum speed at 34 degrees below horizontal; find spring lengths, forces, ball mass, and speeds at key points.","Mechanics","","","circular track, spring force, energy conservation, maximum speed, normal force","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Solutions.pdf"
"","2024","Theoretical","3","Charged Pendulum with External Charge","A charged ball rotates on a thread at 30 degrees to the vertical; an additional fixed charge is placed on the rotation axis at three different heights; find tension, angular speed, and period for each configuration.","Electromagnetism","Mechanics","","Coulomb's law, circular motion, conical pendulum, electrostatic force","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Solutions.pdf"
"","2024","Theoretical","4","Slinky Stretch","A slinky of N turns rests on a horizontal surface with n turns hanging freely; hanging length is measured as a function of n and fitted to a quadratic formula; derive the theoretical form and extract stiffness and natural length per turn.","Mechanics","Experimental Methods","","spring constant, slinky, graphical linearization, data fitting, Hooke's law","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2024/08/BPO6-Solutions.pdf"
"","2023","Theoretical","1","Springs and Nonlinear Force","A conservative force pulls a body tangentially over a smooth hemisphere and a nonlinear spring drives a mass on a surface; compute work done over a path and find speed at a given elongation.","Mechanics","","","work-energy theorem, conservative forces, nonlinear spring, potential energy","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Problems_BPO5_ENG.pdf","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Solutions_BPO5_ENG.pdf"
"","2023","Theoretical","2","Plank on Rough Patch","A plank on a smooth surface is launched or pulled by a constant force across a finite rough region; find minimum launch and applied-force thresholds for the plank to fully traverse the rough area.","Mechanics","","","friction, impulse-momentum, work-energy, force threshold, energy dissipation","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Problems_BPO5_ENG.pdf","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Solutions_BPO5_ENG.pdf"
